יצרן,דגם,מחיר,אזור,עיר,שנה,יד,ת. הילוכים,נפח,סוג מנוע,"ק""מ",צבע,בעלות קודמת,בעלות נוכחית,תאריך יצירה,תאריך הקפצה,תיאור,מספר תמונות,טסט עד
פיאט,500,"13,000 ₪",N/A,עין מאהל,2010,2,רובוטית,"1,400",בנזין,"130,000",צהוב,פרטית,פרטית,2024-04-22,2024-08-07,N/A,4,
פיאט,500,"15,500 ₪",בקעת אונו,אור יהודה,2011,5,רובוטית,"1,200",בנזין,"134,000",צהוב,פרטית,פרטית,2024-02-15,2024-02-15,"פיאט 500 למכירה, רכב מפנק מאוד! נוח בחניות, חסכוני מאוד בדלק. מסך מולטימדיה חדש. מצלמת רוורס. מצלמת דרך. אנו זוג סטודנטים שהתחתן לאחרונה ולכן החלטנו למכור את אחד הרכבים. כל הקודם זוכה",5,
פיאט,500L,"22,500 ₪",תל אביב,תל אביב יפו,2015,3,אוטומטית,"1,200",דיזל,"210,000",לבן,פרטית,פרטית,2023-12-18,2023-12-18,"על הרכב יד שלישית 1248 סמ""ק לזריזים .מודל 2015 טסט עד 10/5/24 7 מקומות ישיבה ! רכב מפנק. מנוע דיזל אמין וחזק הרכב במצב מכני מעולה לאחר טיפול שמנים פילטרים ברקסים וצלחות חדשים 4 צמיגים חדשים יש קבלות. הכל תקין ועובד יד 3 נהגת 4 שנים . עשה 210 אלף קמ מנוע דיזל במצב מעולה נוסע שקט ונעים. להניע ולנסוע 22,500 שקלים",7,
פיאט,500,"18,500 ₪",ירושלים והסביבה,ירושלים,2013,3,אוטומטית,"1,200",בנזין,"141,000",לבן שנהב,פרטית,פרטית,2023-12-16,2023-12-16,"פיאט 500 במצב מצויין!!! ללא תקלות, ללא תאונות. נוסעת מעולה, עברה טסט לפני שבוע, צמיגים חדשים, חסכונית מאוד בדלק!! נמכרת עקב גיוס לצה״ל.",6,
פיאט,בראבו,"13,000 ₪",חולון - בת ים,חולון,2010,4,רובוטית,"1,400",בנזין,"247,000",כחול מטאלי,פרטית,פרטית,2023-12-04,2023-12-04,"למכירה פיאט בראבו 2010 סנסיישן 1.4 רובוטית. רמת הגימור הגבוהה - חלונות שחורים, אורות ערפל, בקרת שיוט, בקרת אקלים מפוצלת. 247k יד 4 מטופלת כל 8000 ק""מ במוסך שמשון. לפני כן במוסך עדי בחדרה. היסטוריית טיפולים מלאה של הרכב! אחרי טיפול גדול! טסט לשנה! מזגן+מעבה חדשים לגמרי! מצבר חדש לגמרי! טורבו vl36+דאון פייפ איכותי מיובא מחו""ל+סעפת מחורצת של מיטו תוכנת קאסטום על דיינו של דני Max tuning מתודלקת 98 188 כ""ס במנוע 26 קג""מ! תוספות נוספות: סמל מושחר מגיני רוח לכל החלונות אורות איתות צידיים לד אנימציה אורות פנים לד לבן וו גרירה נתיק מותקנים ומחווטים רכיבי gps ומצלמת רוורס במידה ורוצים לחבר למערכת מולטימדיה (לא כלולה, הוחזרה המערכת המקורית) - נמסרת עם מפתחות פירוק למערכת רמקולים חדשים מקדימה 3 מפתחות אחרי ניקוי פיח מהמנוע למי שרוצה, יש גם חלפים מקוריים של הרכב(בתוספת מחיר או בנפרד): *טורבו מקורי vl37 *ממיר קטליטי קורה מקורית לפני התקנת וו הגרירה רכב כיפי וחזק בכלום כסף. כיאה לגילה, פגמים קוסמטים חיצוניים+פנימיים. מכנית לא נחסך עליה כלום - מושלמת! פרטים נוספים בפרטי",8,12/2024
פיאט,500,"20,500 ₪",חולון - בת ים,חולון,2013,4,אוטומטית,"1,200",בנזין,"106,000",לבן פנינה,פרטית,פרטית,2023-09-28,2023-09-28,"למכירה FIAT 500 דגם POP אוטומט מנוע 1200 שנת 2013 רק 106,500 אלף קילומטר!!! יד 03 ברישיון (בעלויות פרטיות) 4 צמיגים מצב חדש! ג׳אנטים מגנזיום מערכת שמע בלוטוס טסט עד מרץ 2024 פרטי מנהגת יחידה!! רכב שמור שמור לא יצא מהמרכז! מחירון 21,800 (לוי יצחק) דורש 20,500 גמיש ליד הרכב",8,
פיאט,קובו / QUBO,"25,000 ₪",אשדוד - אשקלון,אשקלון,2016,1,אוטומטית,"1,200",דיזל,"162,000",לבן,ליסינג,ליסינג,2023-04-24,2023-07-06,"פיאט קובו דיזל 1.2 80 כ""ס אוט' החל מ- 450 ₪*. *רכישה באמצעות המחאות (צ'קים). *טרייד אין (המרה) אטרקטיבי . *ליסינג גמיש. *עד 100% מימון עד- 60 תשלומים. בלו-סקאי אשקלון Outlet רכבי עבודה החל מ- 14.990 ש""ח כתובתנו צה""ל 50 אשקלון . *כפוף לאישור הגורם המממן התמונה. להמחשה בלבד . ט.ל.ח",4,
פיאט,פנדה,"6,500 ₪",N/A,שילה,2011,4,ידנית,"1,300",בנזין,"230,000",אפור,פרטית,פרטית,2023-06-14,2023-06-14,חסכונית בטירוף לפני כמה ימים הוחלפו בולמים קדמיים ומשאבת מים ונעשה ניקוי רדיאטור.,3,
פיאט,קובו / QUBO,"27,990 ₪",אשדוד - אשקלון,אשקלון,2016,1,אוטומטית,"1,200",דיזל,"128,000",לבן,ליסינג,ליסינג,2023-04-24,2023-06-09,"פיאט קובו דיזל 1.2 80 כ""ס אוט' החל מ-499 ₪*. *רכישה באמצעות המחאות (צ'קים). *טרייד אין (המרה) אטרקטיבי . *ליסינג גמיש. *עד 100% מימון עד- 60 תשלומים. בלו-סקאי אשקלון Outlet רכבי עבודה החל מ- 14.990 ש""ח כתובתנו צה""ל 50 אשקלון . *כפוף לאישור הגורם המממן התמונה. להמחשה בלבד . ט.ל.ח",5,
פיאט,500,"33,000 ₪",תל אביב,תל אביב יפו,2015,2,רובוטית,"1,200",בנזין,"90,000",שחור,פרטית,פרטית,2023-06-06,2023-06-06,"פיאט 500 2015 עם גג פנורמי שמורה מבפנים ומבחוץ ריפודים כמו חדשים. יד שניה 90,000 טסט לשנה אורנית- 0532225757",5,
